,Reserves,Yearly Public Spending,Unemployment Rate
0,170000000000.0,125367000000.0,8.4
1,146865494113.25,94025250000.0,100.0
2,131566425726.5,70518937500.0,98.79554351099067
3,122143935464.75,52889203125.0,97.59108702198132
4,117128878796.75,39666902343.75,97.04908160192713
5,115419397324.0625,29750176757.8125,96.86841312857572
6,116189097247.85938,22312632568.359375,96.89852454080096
7,118818183219.01953,16734474426.269531,96.9286359530262
8,122841808725.70215,12550855819.702148,97.01897018970189
9,127911338884.02661,9413141864.776611,96.86841312857572
10,133765297531.08246,7059856398.5824585,96.9436916591388
11,140207577544.68683,5294892298.936844,96.61246612466124
12,147091098583.2026,3971169224.202633,96.61246612466124
13,154305550390.40195,2978376918.1519747,96.37157482685939
14,161768200274.11395,3722971147.689968,96.34146341463415
15,169044701600.44147,4653713934.61246,96.0403492923818
16,176088517230.03836,5817142418.265575,96.01023788015658
17,182841475738.72195,7271428022.831969,95.72417946401687
18,189230862846.26398,9089285028.53996,95.73923517012948
19,195165785702.379,11361606285.674952,95.67901234567901
20,200532628244.21027,14202007857.093689,95.82956940680518
21,205189370393.18683,17752509821.36711,95.6639566395664
22,208958487051.09506,22190637276.70889,95.64890093345379
23,211618071845.16785,27738296595.886112,95.3026196928636
24,212890741809.44632,34672870744.85764,95.37789822342668
25,212429768236.4819,43341088431.07205,95.33273110508883
26,209801740241.9639,54176360538.840065,95.40800963565191
27,204464894220.50388,67720450673.55008,95.1219512195122
28,195742025665.36636,84650563341.93759,95.3026196928636
29,182786628943.13196,105813204177.422,95.19722975007528
30,164540572012.02646,132266505221.7775,95.19722975007528
31,139681189819.8321,99199878916.33313,95.01656127672388
32,123088464203.99881,74399909187.24985,95.2122854561879
33,112695731020.43634,55799931890.437386,95.1219512195122
34,106952992161.077,41849948917.82804,95.09183980728696
35,104697749044.86998,31387461688.371033,94.76061427280939
36,105058127736.02722,23540596266.278275,94.85094850948511
37,107380222782.70766,17655447199.708706,94.61005721168323
38,111173605096.03049,13241585399.781528,94.67028003613369
39,116070452859.3351,9931189049.836147,94.64016862390847
40,121794899710.12607,7448391787.3771105,94.85094850948511
41,128140045876.53178,5586293840.532833,94.73050286058417
42,134950716529.64857,4189720380.399625,94.77566997892201
43,142110530547.79868,3142290285.299719,94.68533574224631
44,149532202089.72375,2356717713.974789,94.76061427280939
45,157150266774.48007,1767538285.481092,94.71544715447155
46,164915626316.3598,2209422856.851365,94.83589280337247
47,172570514715.39697,2761778571.064206,94.74555856669677
48,180087314185.88092,3452223213.8302574,94.80578139114725
49,187431502495.67337,4315279017.287822,94.71544715447155
50,194559926854.6014,5394098771.609777,94.76061427280939
51,201418646274.94897,6742623464.512222,94.64016862390847
52,207940234522.07092,8428279330.640278,94.579945799458
53,214040408802.66086,10535349163.300346,94.51972297500753
54,219613815625.0858,13169186454.125433,94.50466726889492
55,224528763124.8044,16461483067.656792,94.4143330322192
56,228620636471.14023,20576853834.57099,94.4143330322192
57,231683667125.74747,25721067293.213737,94.14333032219211
58,233460644415.69403,32151334116.517174,94.23366455886782
59,233630054999.81473,40189167645.64647,94.08310749774165
